label,temperature_mean,temperature_min,temperature_max,humidity_mean,humidity_min,humidity_max,rainfall_mean,rainfall_min,rainfall_max,ph_mean,ph_min,ph_max,N_mean,N_min,N_max,P_mean,P_min,P_max,K_mean,K_min,K_max
apple,22.6309424132,21.0365275,23.99686172,92.3333828756,90.02575116,94.92048112,112.654779275,100.1173443,124.9831618,5.929662931809999,5.514253142,6.4992268210000015,20.8,0,40,134.22,120,145,199.89,195,205
banana,27.3767983057,25.01018457,29.90888522,80.35812258109999,75.03193255,84.97849241,104.6269804001,90.10978128,119.84797,5.98389318024,5.505393832999999,6.490074429,100.23,80,120,82.01,70,95,50.05,45,55
blackgram,29.9733396789,25.09737391,34.9466155,65.1184255887,60.06534859,69.96100028,67.8841511832,60.41790253,74.91559514,7.13395162948,6.500144962,7.775306272000001,40.02,20,60,67.47,55,80,19.24,15,25
chickpea,18.8728467519,17.02498456,20.99502153,16.8604394237,14.25803981,19.96978871,80.0589772605,65.11365631,94.78189594,7.33695662374,5.988992796000002,8.868741443,40.09,20,60,67.79,55,80,79.92,75,85
coconut,27.4098921723,25.00872392,29.8690834,94.84427180610001,90.01734526,99.98187601,175.686645804,131.09000759999998,225.6323656,5.97656212619,5.50158009,6.470465614,21.98,0,40,16.93,5,30,30.59,25,35
coffee,25.5404768193,23.05951896,27.92374437,58.8698463003,50.04557009,69.94807345,158.066294882,115.1564012,199.4735636,6.79030827457,6.020947179,7.493191968,101.2,80,120,28.74,15,40,29.94,25,35
cotton,23.988957895200002,22.00085141,25.99237426,79.8434742538,75.00539324,84.87668973,80.3980431193,60.65381719,99.93100821,6.91267549578,5.801047545,7.994679507000001,117.77,100,140,46.24,35,60,19.56,15,25
grapes,23.849575120049998,8.825674745,41.94865736,81.8752275212,80.01639435,83.98351748,69.611828886,65.01095312,74.91506217,6.025936681099999,5.510924848999999,6.499604931,23.18,0,40,132.53,120,145,200.11,195,205
jute,24.9583758265,23.09433785,26.98582182,79.6398642063,70.88259632,89.89106506,174.792797536,150.2355238,199.83629130000003,6.7327775681699995,6.002524871,7.4880144039999985,78.4,60,100,46.86,35,60,39.99,35,45
kidneybeans,20.1150846851,15.33042636,24.92360104,21.6053567295,18.09224048,24.96969858,105.91977754210001,60.27552528,149.7441028,5.749410585870001,5.502999119,5.99812453,20.75,0,40,67.54,55,80,20.05,15,25
lentil,24.509052402600002,18.06486101,29.94413861,64.8047846785,60.09116626,69.92375891,45.680454204,35.03484812,54.93937710000001,6.927931571609999,5.91645379,7.841496029,18.77,0,40,68.36,55,80,19.41,15,25
maize,22.3892039102,18.04185513,26.54986394,65.0922494467,55.28220433,74.82913698,84.766987663,60.65171481,109.7515385,6.2451897224,5.513697923,6.995843776,77.76,60,100,48.44,35,60,19.79,15,25
mango,31.2087701513,27.00315545,35.99009679,50.1565726953,45.02236377,54.9640534,94.70451504479999,89.29147581,100.8124659,5.766372799660001,4.507523551,6.9674177660000005,20.07,0,40,27.18,15,40,29.92,25,35
mothbeans,28.1949204842,24.01825377,31.99928579,53.16041802790001,40.00933429,64.95585424,51.198487045700006,30.92014047,74.44330654,6.83117408269,3.504752314,9.93509073,21.44,0,40,48.01,35,60,20.23,15,25
mungbean,28.5257747353,27.01470397,29.914544300000006,85.49997454300001,80.03499648,89.99615558,48.403600902899996,36.12042927,59.87232071,6.72395694037,6.218923893,7.199495367999999,20.99,0,40,47.28,35,60,19.87,15,25
muskmelon,28.663065756,27.02415146,29.94349168,92.34280196089999,90.01506395,94.96218673,24.689952066,20.21126747,29.86681385,6.35880545179,6.002927293,6.781050372999999,100.32,80,120,17.72,5,30,50.08,45,55
orange,22.7657254967,10.01081312,34.90665289,92.17020876340001,90.00621688,94.96419851,110.47496871999999,100.1737964,119.6946577,7.01695745276,6.010391864,7.995848977,19.58,0,40,16.55,5,30,10.01,5,15
papaya,33.7238587388,23.012401800000006,43.67549305,92.4033876826,90.03863107,94.94482086,142.6278388629,40.35153141,248.8592986,6.74144237274,6.501521192,6.993473247000001,49.88,31,70,59.05,46,70,50.04,45,55
pigeonpeas,27.7417622259,18.31910448,36.97794384,48.0616330847,30.40046769,69.69141302,149.4575638135,90.05422663,198.8298806,5.794174879790001,4.548202098,7.445444882999999,20.73,0,40,67.73,55,80,20.29,15,25
pomegranate,21.837841721999997,18.07132963,24.96273236,90.1255037895,85.12912161,94.99897537,107.52844239699999,102.5184759,112.4750941,6.4291718411700005,5.561851831,7.199504273,18.87,0,40,18.75,5,30,40.21,35,45
rice,23.6893322105,20.0454142,26.92995077,82.2728215389,80.12267476,84.96907151,236.181113594,182.5616319,298.5601175,6.425470922140001,5.005306977,7.868474653,79.89,60,99,47.58,35,60,39.87,35,45
watermelon,25.591767237499997,24.04355803,26.98603693,85.16037529360001,80.02621335,89.98405233,50.7862189449,40.12650421,59.75980023,6.49577830157,6.000975617000001,6.956508826,99.42,80,120,17.0,5,30,50.22,45,55
